interactionId,sentence,entities,interaction,relationship
BioInfer_d316,"In addition, we performed immunohistochemistry on sectioned Myf-5 and MyoD mutant embryos with antibodies reactive with desmin, nestin, myosin heavy chain, sarcomeric actin, Myf-5, MyoD and myogenin.","[('T6', 'Gene/protein/RNA', 'myosin heavy chain', (136, 154)), ('T7', 'Gene/protein/RNA', 'MyoD', (70, 74)), ('T4', 'Gene/protein/RNA', 'Myf-5', (174, 179)), ('T5', 'Gene/protein/RNA', 'nestin', (128, 134)), ('T8', 'Gene/protein/RNA', 'desmin', (120, 126)), ('T9', 'Gene/protein/RNA', 'Myf-5', (60, 65)), ('T1', 'Gene/protein/RNA', 'MyoD', (181, 185)), ('T3', 'Gene/protein/RNA', 'sarcomeric actin', (156, 172)), ('T2', 'Gene/protein/RNA', 'myogenin', (190, 198))]",{},0
BioInfer_d54,"Analyses of dynamic light scattering data by stretched exponential fit show that vinculin has a negligible influence on internal actin filament dynamics and actin bending stiffness which contrasts with our previous observations with talin, another actin and vinculin-binding protein from focal adhesions.","[('T6', 'Individual_protein', 'actin', (129, 134)), ('T4', 'Individual_protein', 'actin', (157, 162)), ('T5', 'Individual_protein', 'vinculin', (258, 266)), ('T1', 'Individual_protein', 'actin', (248, 253)), ('T3', 'Individual_protein', 'talin', (233, 238)), ('T2', 'Individual_protein', 'vinculin', (81, 89))]","{'R1': ('T1', 'T3'), 'R2': ('T2', 'T4'), 'R3': ('T2', 'T6'), 'R4': ('T3', 'T5')}",1
BioInfer_d777,"Treatment with HNE resulted in activation of extracellular signal-regulated protein kinases ERK1 and ERK2, induction of c-fos and c-jun protein expression, and an increase in transcription factor AP-1 DNA binding activity.","[('T6', 'Protein_family_or_group', 'extracellular signal-regulated protein kinases', (45, 91)), ('T4', 'Gene/protein/RNA', 'c-jun', (130, 135)), ('T5', 'Gene/protein/RNA', 'c-fos', (120, 125)), ('T1', 'Individual_protein', 'ERK1', (92, 96)), ('T3', 'Gene/protein/RNA', 'AP-1', (196, 200)), ('T2', 'Individual_protein', 'ERK2', (101, 105))]","{'R1': ('T1', 'T6'), 'R2': ('T2', 'T6')}",1
BioInfer_d85,"Associations of UBE2I with RAD52, UBL1, p53, and RAD51 proteins in a yeast two-hybrid system.","[('T4', 'Individual_protein', 'UBE2I', (16, 21)), ('T5', 'Individual_protein', 'p53', (40, 43)), ('T1', 'Individual_protein', 'UBL1', (34, 38)), ('T3', 'Individual_protein', 'RAD52', (27, 32)), ('T2', 'Individual_protein', 'RAD51', (49, 54))]","{'R1': ('T1', 'T4'), 'R2': ('T2', 'T4'), 'R3': ('T3', 'T4'), 'R4': ('T4', 'T5')}",1
BioInfer_d460,"One involves talin, which has recently been shown to bind actin directly.","[('T1', 'Individual_protein', 'talin', (13, 18)), ('T2', 'Individual_protein', 'actin', (58, 63))]","{'R1': ('T1', 'T2')}",1
BioInfer_d812,"We have examined the level of cyclin E, a G1 cyclin, and p27kip, a cyclin-dependent kinase inhibitor, in BALB/c 3T3 cells.","[('T4', 'Protein_family_or_group', 'cyclin-dependent kinase inhibitor', (67, 100)), ('T1', 'Individual_protein', 'p27kip', (57, 63)), ('T3', 'Protein_family_or_group', 'G1 cyclin', (42, 51)), ('T2', 'Individual_protein', 'cyclin E', (30, 38))]","{'R1': ('T1', 'T4'), 'R2': ('T2', 'T3')}",1
BioInfer_d298,"Immunoprecipitation of metabolically labeled proteins with HECD-1 revealed three bands corresponding to E-cadherin, alpha-catenin, and gamma-catenin and a 79-kDa band which was apparently smaller than that of normal beta-catenin, indicating truncated beta-catenin.","[('T6', 'Individual_protein', 'gamma-catenin', (135, 148)), ('T4', 'Individual_protein', 'E-cadherin', (104, 114)), ('T5', 'Individual_protein', 'alpha-catenin', (116, 129)), ('T1', 'Individual_protein', 'beta-catenin', (251, 263)), ('T3', 'Individual_protein', 'HECD-1', (59, 65)), ('T2', 'Gene/protein/RNA', 'beta-catenin', (216, 228))]","{'R1': ('T1', 'T3'), 'R2': ('T3', 'T4'), 'R3': ('T3', 'T5'), 'R4': ('T3', 'T6')}",1
BioInfer_d249,"Here we report the functional importance of profilin in various actin-mediated morphological changes using H119E mutant profilin I, which is deficient only in actin binding.","[('T4', 'Individual_protein', 'actin', (159, 164)), ('T1', 'Individual_protein', 'H119E', (107, 112)), ('T3', 'Individual_protein', 'actin', (64, 69)), ('T2', 'Individual_protein', 'profilin', (44, 52))]","{'R1': ('T1', 'T4')}",1
BioInfer_d628,The inhibitory effects of rapamycin on bombesin-stimulated cell cycle progression did not involve accumulation of the cyclin-dependent kinase inhibitor p27(kip1) but a striking inhibition of the expression of cyclin D1.,"[('T4', 'Individual_protein', 'p27', (152, 155)), ('T1', 'Protein_family_or_group', 'cyclin-dependent kinase inhibitor', (118, 151)), ('T3', 'Individual_protein', 'kip1', (156, 160)), ('T2', 'Gene/protein/RNA', 'cyclin D1', (209, 218))]","{'R1': ('T1', 'T3'), 'R2': ('T1', 'T4')}",1
BioInfer_d53,"Analyses of beta-catenin or E-cadherin immunoprecipitates from BMMC lysate revealed that alpha-catenin, beta-catenin, and E-cadherin were co-precipitated, suggesting that E-cadherin and catenins form a complex in mast cells.","[('T6', 'Individual_protein', 'alpha-catenin', (89, 102)), ('T7', 'Individual_protein', 'E-cadherin', (122, 132)), ('T4', 'Individual_protein', 'E-cadherin', (171, 181)), ('T5', 'Gene/protein/RNA', 'beta-catenin', (12, 24)), ('T1', 'Gene/protein/RNA', 'E-cadherin', (28, 38)), ('T3', 'Individual_protein', 'catenins', (186, 194)), ('T2', 'Individual_protein', 'beta-catenin', (104, 116))]","{'R1': ('T2', 'T6'), 'R2': ('T2', 'T7'), 'R3': ('T3', 'T4'), 'R4': ('T6', 'T7')}",1
BioInfer_d311,"In addition to their role in mismatch repair (MMR), the MSH2 and MSH3 gene products are required to remove 3' nonhomologous DNA tails during genetic recombination.","[('T1', 'Gene/protein/RNA', 'MSH2', (56, 60)), ('T2', 'Gene/protein/RNA', 'MSH3', (65, 69))]",{},0
BioInfer_d770,"Total actin and myosin heavy chain mRNAs, and polyadenylated RNA, were determined using slot-blot assays.","[('T1', 'Gene/protein/RNA', 'myosin heavy chain', (16, 34)), ('T2', 'Gene/protein/RNA', 'actin', (6, 11))]",{},0
BioInfer_d815,"We have shown that these proteins are indeed nuclear basic proteins: the 14 kd is the histone H4, the 19 kd is the histone H3, and the 25 kd is the sperm-specific protein SP2.","[('T6', 'Individual_protein', 'H3', (123, 125)), ('T4', 'Individual_protein', 'H4', (94, 96)), ('T5', 'Individual_protein', 'SP2', (171, 174)), ('T1', 'Protein_family_or_group', 'nuclear basic proteins', (45, 67)), ('T3', 'Protein_family_or_group', 'histone', (86, 93)), ('T2', 'Protein_family_or_group', 'histone', (115, 122))]","{'R1': ('T1', 'T4'), 'R2': ('T1', 'T5'), 'R3': ('T1', 'T6'), 'R4': ('T2', 'T6'), 'R5': ('T3', 'T4')}",1
BioInfer_d467,"On the other hand, we have recently proposed the importance of cofilin, an actin-binding phosphoprotein, in phagocyte functions through dephosphorylation and translocation to the plasma membrane regions.","[('T1', 'Individual_protein', 'actin', (75, 80)), ('T2', 'Individual_protein', 'cofilin', (63, 70))]","{'R1': ('T1', 'T2')}",1
BioInfer_d82,"A similar phenotype was seen in testes treated with cytochalasin B and has been noted previously in mutants at the twinstar locus, a gene that encodes a Drosophila member of the cofilin/ADF family of actin-severing proteins.","[('T1', 'Individual_protein', 'actin', (200, 205)), ('T3', 'Gene', 'twinstar', (115, 123)), ('T2', 'Protein_family_or_group', 'cofilin/ADF', (178, 189))]","{'R1': ('T1', 'T2'), 'R2': ('T2', 'T3')}",1
BioInfer_d685,The resulting beta-catenin product is unable to bind alpha-catenin that is responsible for actin filament binding and organization.,"[('T1', 'Individual_protein', 'beta-catenin', (14, 26)), ('T3', 'Individual_protein', 'actin', (91, 96)), ('T2', 'Individual_protein', 'alpha-catenin', (53, 66))]","{'R1': ('T1', 'T2'), 'R2': ('T2', 'T3')}",1
BioInfer_d122,"By two-hybrid screening we have identified two partners that directly associate with TIF34: PRT1, a previously characterized eIF3 subunit, and a novel protein of 33 kDa (eIF3-p33) which is part of the eIF3 complex and has an RNA binding domain.
Our results provide support for both physical and functional interactions between three subunits, TIF34, PRT1 and p33, in the eIF3 complex.","[('T6', 'Individual_protein', 'PRT1', (350, 354)), ('T7', 'Individual_protein', 'p33', (359, 362)), ('T4', 'Individual_protein', 'PRT1', (92, 96)), ('T5', 'Individual_protein', 'TIF34', (85, 90)), ('T8', 'Protein_complex', 'eIF3', (371, 375)), ('T9', 'Individual_protein', 'TIF34', (343, 348)), ('T1', 'Protein_complex', 'eIF3', (201, 205)), ('T3', 'Protein_complex', 'eIF3', (125, 129)), ('T2', 'Individual_protein', 'eIF3-p33', (170, 178))]","{'R1': ('T1', 'T2'), 'R10': ('T8', 'T9'), 'R2': ('T2', 'T5'), 'R3': ('T3', 'T4'), 'R4': ('T4', 'T5'), 'R5': ('T6', 'T7'), 'R6': ('T6', 'T8'), 'R7': ('T6', 'T9'), 'R8': ('T7', 'T8'), 'R9': ('T7', 'T9')}",1
BioInfer_d543,"Single-headed myosin, which consists of a full length myosin heavy chain and a tagged tail, was isolated on the basis of the affinities for Nickel agarose and actin.","[('T1', 'Individual_protein', 'actin', (159, 164)), ('T3', 'Individual_protein', 'myosin heavy chain', (54, 72)), ('T2', 'Protein_complex', 'Single-headed myosin', (0, 20))]","{'R1': ('T1', 'T2'), 'R2': ('T2', 'T3')}",1
BioInfer_d235,"Gravin is not likely to be a nonerythroid spectrin, talin, myosin, or actin-binding protein based on the lack of reactivity of antigravin with these polypeptides in immunoblots.","[('T6', 'Individual_protein', 'antigravin', (127, 137)), ('T4', 'Individual_protein', 'talin', (52, 57)), ('T5', 'Individual_protein', 'actin-binding protein', (70, 91)), ('T1', 'Individual_protein', 'nonerythroid spectrin', (29, 50)), ('T3', 'Individual_protein', 'Gravin', (0, 6)), ('T2', 'Individual_protein', 'myosin', (59, 65))]","{'R1': ('T1', 'T6'), 'R2': ('T2', 'T6'), 'R3': ('T4', 'T6'), 'R4': ('T5', 'T6')}",1
BioInfer_d592,The cellular transcription co-activators p300 and the CREB-binding protein CBP are cellular targets for transformation by the E1A proteins of non-oncogenic adenovirus 5 (Ad5).,"[('T4', 'Gene', 'E1A', (126, 129)), ('T1', 'Protein_family_or_group', 'CREB-binding protein', (54, 74)), ('T3', 'Individual_protein', 'p300', (41, 45)), ('T2', 'Individual_protein', 'CBP', (75, 78))]","{'R1': ('T1', 'T2'), 'R2': ('T2', 'T4'), 'R3': ('T3', 'T4')}",1
BioInfer_d654,"The observed in vivo expression patterns of alpha-catenin, beta-catenin, and plakoglobin suggest that these proteins are directly linked with the developmental regulation of cell junctions, as cardiac cells become stably committed and phenotypically differentiated to eventually form a mature myocardium.
This study details the expression patterns of alpha-catenin, beta-catenin, and gamma-catenin, during definition of the cardiac cell population as distinct compartments in the anterior regions of the chick embryo between stages 5 and 9.","[('T6', 'Gene/protein/RNA', 'beta-catenin', (366, 378)), ('T4', 'Gene/protein/RNA', 'alpha-catenin', (351, 364)), ('T5', 'Gene/protein/RNA', 'gamma-catenin', (384, 397)), ('T1', 'Gene/protein/RNA', 'beta-catenin', (59, 71)), ('T3', 'Gene/protein/RNA', 'plakoglobin', (77, 88)), ('T2', 'Gene/protein/RNA', 'alpha-catenin', (44, 57))]",{},0
BioInfer_d150,"CONCLUSIONS: The expression of alpha-catenin, beta-catenin, and gamma-catenin is related to histological type and differentiation in NSCLC, although catenins have no independent prognostic value.
Reduced expression of alpha-catenin, beta-catenin, and gamma-catenin is associated with high cell proliferative activity and poor differentiation in non-small cell lung cancer.","[('T6', 'Gene/protein/RNA', 'alpha-catenin', (218, 231)), ('T7', 'Gene/protein/RNA', 'beta-catenin', (233, 245)), ('T4', 'Gene/protein/RNA', 'alpha-catenin', (31, 44)), ('T5', 'Gene/protein/RNA', 'gamma-catenin', (251, 264)), ('T1', 'Gene/protein/RNA', 'catenins', (149, 157)), ('T3', 'Gene/protein/RNA', 'gamma-catenin', (64, 77)), ('T2', 'Gene/protein/RNA', 'beta-catenin', (46, 58))]",{},0
BioInfer_d531,"Sequences upstream of the coding region for RAD51 protein share homology with the damage response sequence element of RAD54, an upstream activating sequence required for damage regulation of the RAD54 transcript, and also contain two sites for restriction enzyme MluI; the presence of MluI restriction sites has been associated with cell cycle regulation.
A 1.6-kb transcript corresponding to RAD51 was observed, and levels of this transcript increased rapidly after exposure to relatively low doses of X-rays.","[('T6', 'Gene/protein/RNA', 'RAD51', (393, 398)), ('T4', 'Gene', 'RAD54', (195, 200)), ('T5', 'Gene', 'RAD51', (44, 49)), ('T1', 'Individual_protein', 'MluI', (263, 267)), ('T3', 'Gene', 'RAD54', (118, 123)), ('T2', 'Gene/protein/RNA', 'MluI', (285, 289))]","{'R1': ('T1', 'T5'), 'R2': ('T3', 'T4'), 'R3': ('T3', 'T5')}",1
BioInfer_d296,"Immunolocalization of E-cadherin (E-cad), alpha-catenin, beta-catenin, and CD44 has rarely been investigated in human cholangiocarcinoma (CC).
In CC, membranous expression of E-cad, alpha-catenin, and beta-catenin was the same or reduced when compared with non-cancerous bile ducts in the majority of CC.
In normal livers, E-cad, alpha-catenin and beta-catenin, but not CD44s, CD44v5, CD44v6, CD44v7-8, and CD44v10, were expressed at the cell membrane of normal intrahepatic bile ducts.
We found that the down-regulation of E-cad, alpha-catenin, and beta-catenin expression significantly correlated with tumor high grade, but not with vascular invasion, metastasis, p53 expression, Ki-67 labeling, or c-erbB2 expression, except for beta-catenin, the down-regulation of which was associated with c-erbB2 down-regulation.","[('T1', 'Gene/protein/RNA', 'beta-catenin', (57, 69)), ('T3', 'Individual_protein', 'E-cad', (34, 39)), ('T2', 'Individual_protein', 'E-cadherin', (22, 32)), ('T6', 'Gene/protein/RNA', 'E-cad', (175, 180)), ('T7', 'Gene/protein/RNA', 'beta-catenin', (201, 213)), ('T4', 'Gene/protein/RNA', 'alpha-catenin', (42, 55)), ('T5', 'Gene/protein/RNA', 'CD44', (75, 79)), ('T10', 'Individual_protein', 'CD44s', (370, 375)), ('T11', 'Individual_protein', 'CD44v10', (407, 414)), ('T12', 'Individual_protein', 'CD44v6', (385, 391)), ('T8', 'Gene/protein/RNA', 'alpha-catenin', (182, 195)), ('T13', 'Individual_protein', 'E-cad', (323, 328)), ('T14', 'Individual_protein', 'CD44v5', (377, 383)), ('T9', 'Individual_protein', 'beta-catenin', (348, 360)), ('T15', 'Individual_protein', 'alpha-catenin', (330, 343)), ('T24', 'Individual_protein', 'Ki-67', (682, 687)), ('T16', 'Individual_protein', 'CD44v7-8', (393, 401)), ('T23', 'Individual_protein', 'alpha-catenin', (531, 544)), ('T17', 'Individual_protein', 'beta-catenin', (732, 744)), ('T22', 'Individual_protein', 'c-erbB2', (795, 802)), ('T18', 'Individual_protein', 'E-cad', (524, 529)), ('T21', 'Individual_protein', 'p53', (666, 669)), ('T19', 'Individual_protein', 'beta-catenin', (550, 562)), ('T20', 'Individual_protein', 'c-erbB2', (701, 708))]","{'R1': ('T9', 'T1'), 'R10': ('T1', 'T1'), 'R11': ('T1', 'T1'), 'R12': ('T1', 'T1'), 'R13': ('T1', 'T1'), 'R14': ('T1', 'T1'), 'R15': ('T1', 'T1'), 'R16': ('T1', 'T1'), 'R17': ('T1', 'T1'), 'R18': ('T1', 'T1'), 'R19': ('T1', 'T2'), 'R2': ('T9', 'T1'), 'R20': ('T1', 'T2'), 'R21': ('T1', 'T2'), 'R22': ('T1', 'T2'), 'R23': ('T1', 'T2'), 'R24': ('T2', 'T2'), 'R25': ('T2', 'T2'), 'R3': ('T9', 'T1'), 'R4': ('T9', 'T1'), 'R5': ('T9', 'T1'), 'R6': ('T9', 'T1'), 'R7': ('T9', 'T1'), 'R8': ('T1', 'T1'), 'R9': ('T1', 'T1')}",1
BioInfer_d247,"Here, we prepared a profilin mutant (H119E) defective in actin binding, but retaining the ability to bind to other proteins.
The essential role of profilin in the assembly of actin for microspike formation.
These findings provide the first evidence that profilin is a key molecule linking a signaling network to rapid actin polymerization in microspike formation.
This mutant profilin I suppresses actin polymerization in microspike formation induced by N-WASP, the essential factor in microspike formation.","[('T6', 'Individual_protein', 'profilin', (254, 262)), ('T7', 'Individual_protein', 'profilin I', (376, 386)), ('T4', 'Individual_protein', 'profilin', (147, 155)), ('T5', 'Individual_protein', 'actin', (318, 323)), ('T8', 'Individual_protein', 'N-WASP', (454, 460)), ('T9', 'Individual_protein', 'actin', (398, 403)), ('T1', 'Individual_protein', 'profilin', (20, 28)), ('T3', 'Individual_protein', 'actin', (175, 180)), ('T2', 'Individual_protein', 'actin', (57, 62))]","{'R1': ('T1', 'T2'), 'R2': ('T3', 'T4'), 'R3': ('T5', 'T6'), 'R4': ('T7', 'T8'), 'R5': ('T7', 'T9'), 'R6': ('T8', 'T9')}",1
BioInfer_d181,"During apoptotic process induced by the agents, expression of cyclin-dependent kinase inhibitors p21 and p27 increased, whereas expression of cyclin D1 decreased.","[('T4', 'Gene/protein/RNA', 'cyclin D1', (142, 151)), ('T1', 'Individual_protein', 'p21', (97, 100)), ('T3', 'Protein_family_or_group', 'cyclin-dependent kinase inhibitors', (62, 96)), ('T2', 'Individual_protein', 'p27', (105, 108))]","{'R1': ('T1', 'T3'), 'R2': ('T2', 'T3')}",1
BioInfer_d626,The I/LWEQ module is a conserved sequence that we have identified as an actin-binding motif in the metazoan focal adhesion protein talin and the yeast protein Sla2p.,"[('T1', 'Individual_protein', 'actin', (72, 77)), ('T3', 'Individual_protein', 'Sla2p', (159, 164)), ('T2', 'Individual_protein', 'talin', (131, 136))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3')}",1
BioInfer_d469,Other mammalian actin-binding proteins such as profilin and CapG but also fragmin from Physarum polycephalum are similar targets for PIP2-stimulated pp60(c-src) phosphorylation.,"[('T6', 'Individual_protein', 'profilin', (47, 55)), ('T4', 'Individual_protein', 'c-src', (154, 159)), ('T5', 'Protein_family_or_group', 'actin-binding proteins', (16, 38)), ('T1', 'Individual_protein', 'CapG', (60, 64)), ('T3', 'Individual_protein', 'pp60', (149, 153)), ('T2', 'Individual_protein', 'fragmin', (74, 81))]","{'R1': ('T1', 'T3'), 'R2': ('T1', 'T4'), 'R3': ('T1', 'T5'), 'R4': ('T2', 'T3'), 'R5': ('T2', 'T4'), 'R6': ('T2', 'T5'), 'R7': ('T3', 'T6'), 'R8': ('T4', 'T6'), 'R9': ('T5', 'T6')}",1
BioInfer_d363,"Interestingly, two major actin-binding proteins found in brain, gelsolin and profilin, specifically interact with phosphatidylinositol 4,5-bisphosphate, and may themselves play a role in regulating phosphoinositide turnover.","[('T1', 'Protein_family_or_group', 'actin-binding proteins', (25, 47)), ('T3', 'Individual_protein', 'gelsolin', (64, 72)), ('T2', 'Individual_protein', 'profilin', (77, 85))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3')}",1
BioInfer_d21,Actophorin and profilin have opposite effects on the rate of exchange of nucleotide bound to actin monomers.,"[('T1', 'Individual_protein', 'actin', (93, 98)), ('T3', 'Individual_protein', 'Actophorin', (0, 10)), ('T2', 'Individual_protein', 'profilin', (15, 23))]",{},0
BioInfer_d702,"These phenotypes are similar to those of the mutant of PFY1, which encodes profilin, an actin-binding protein.","[('T1', 'Gene', 'PFY1', (55, 59)), ('T3', 'Individual_protein', 'profilin', (75, 83)), ('T2', 'Protein_family_or_group', 'actin-binding protein', (88, 109))]","{'R1': ('T1', 'T3'), 'R2': ('T2', 'T3')}",1
BioInfer_d415,"MDP2 is the previously identified VRP1, which encodes verprolin, required for proper organization of the actin cytoskeleton.","[('T4', 'Individual_protein', 'verprolin', (54, 63)), ('T1', 'Individual_protein', 'actin', (105, 110)), ('T3', 'Gene', 'MDP2', (0, 4)), ('T2', 'Gene', 'VRP1', (34, 38))]","{'R1': ('T1', 'T4'), 'R2': ('T2', 'T4')}",1
BioInfer_d26,A distinct modulating domain in glucocorticoid receptor monomers in the repression of activity of the transcription factor AP-1.,"[('T1', 'Individual_protein', 'AP-1', (123, 127)), ('T2', 'Individual_protein', 'glucocorticoid receptor', (32, 55))]","{'R1': ('T1', 'T2')}",1
BioInfer_d364,"In the ADE2 assay system, silencing depends completely upon the function of the SIR genes, known trans-acting regulators of the silent loci, and is sensitive to the gene dosage of two SIR genes, SIR1 and SIR4.","[('T4', 'Gene/protein/RNA', 'ADE2', (7, 11)), ('T5', 'Gene', 'SIR', (184, 187)), ('T1', 'Gene', 'SIR4', (204, 208)), ('T3', 'Gene/protein/RNA', 'SIR', (80, 83)), ('T2', 'Gene', 'SIR1', (195, 199))]","{'R1': ('T1', 'T5'), 'R2': ('T2', 'T5')}",1
BioInfer_d705,The sequence of the inhibitory region is similar to that of a beta-hairpin region of the actin-binding protein profilin.,"[('T1', 'Protein_family_or_group', 'actin-binding protein', (89, 110)), ('T2', 'Individual_protein', 'profilin', (111, 119))]","{'R1': ('T1', 'T2')}",1
BioInfer_d412,Mammalian LIM-kinases (LIMKs) phosphorylate cofilin and induce actin cytoskeletal reorganization.,"[('T4', 'Individual_protein', 'cofilin', (44, 51)), ('T1', 'Individual_protein', 'actin', (63, 68)), ('T3', 'Individual_protein', 'LIM-kinases', (10, 21)), ('T2', 'Individual_protein', 'LIMKs', (23, 28))]","{'R1': ('T1', 'T2'), 'R2': ('T1', 'T3'), 'R3': ('T2', 'T4'), 'R4': ('T3', 'T4')}",1
